plate,ID,ppm
parce lys 2023.03.07 plate 1,Std-0,0
parce lys 2023.03.07 plate 1,Std-2,2
parce lys 2023.03.07 plate 1,Std-4,4
parce lys 2023.03.07 plate 1,Std-6,6
parce lys 2023.03.07 plate 1,Std-8,8
parce lys 2023.03.07 plate 1,C-2,2
parce lys 2023.03.07 plate 2,Std-0,0
parce lys 2023.03.07 plate 2,Std-2,2
parce lys 2023.03.07 plate 2,Std-4,4
parce lys 2023.03.07 plate 2,Std-6,6
parce lys 2023.03.07 plate 2,Std-8,8
parce lys 2023.03.07 plate 2,C-2,2
parce lys 2023.03.07 plate 3,Std-0,0
parce lys 2023.03.07 plate 3,Std-2,2
parce lys 2023.03.07 plate 3,Std-4,4
parce lys 2023.03.07 plate 3,Std-6,6
parce lys 2023.03.07 plate 3,Std-8,8
parce lys 2023.03.07 plate 3,C-2,2
parce lys 2023.03.07 plate 4,Std-0,0
parce lys 2023.03.07 plate 4,Std-2,2
parce lys 2023.03.07 plate 4,Std-4,4
parce lys 2023.03.07 plate 4,Std-6,6
parce lys 2023.03.07 plate 4,Std-8,8
parce lys 2023.03.07 plate 4,C-2,2
parce lys 2023.03.07 plate 5,Std-0,0
parce lys 2023.03.07 plate 5,Std-2,2
parce lys 2023.03.07 plate 5,Std-4,4
parce lys 2023.03.07 plate 5,Std-6,6
parce lys 2023.03.07 plate 5,Std-8,8
parce lys 2023.03.07 plate 5,C-2,2
parce lys 2023.03.07 plate 6,Std-0,0
parce lys 2023.03.07 plate 6,Std-2,2
parce lys 2023.03.07 plate 6,Std-4,4
parce lys 2023.03.07 plate 6,Std-6,6
parce lys 2023.03.07 plate 6,Std-8,8
parce lys 2023.03.07 plate 6,C-2,2
parce lys 2023.03.08 plate 7,Std-0,0
parce lys 2023.03.08 plate 7,Std-2,2
parce lys 2023.03.08 plate 7,Std-4,4
parce lys 2023.03.08 plate 7,Std-6,6
parce lys 2023.03.08 plate 7,Std-8,8
parce lys 2023.03.08 plate 7,C-2,2
parce lys 2023.03.08 plate 8,Std-0,0
parce lys 2023.03.08 plate 8,Std-2,2
parce lys 2023.03.08 plate 8,Std-4,4
parce lys 2023.03.08 plate 8,Std-6,6
parce lys 2023.03.08 plate 8,Std-8,8
parce lys 2023.03.08 plate 8,C-2,2
parce lys 2023.03.08 plate 9,Std-0,0
parce lys 2023.03.08 plate 9,Std-2,2
parce lys 2023.03.08 plate 9,Std-4,4
parce lys 2023.03.08 plate 9,Std-6,6
parce lys 2023.03.08 plate 9,Std-8,8
parce lys 2023.03.08 plate 9,C-2,2
parce lys 2023.03.08 plate 10,Std-0,0
parce lys 2023.03.08 plate 10,Std-2,2
parce lys 2023.03.08 plate 10,Std-4,4
parce lys 2023.03.08 plate 10,Std-6,6
parce lys 2023.03.08 plate 10,Std-8,8
parce lys 2023.03.08 plate 10,C-2,2
parce lys 2023.03.08 plate 11,Std-0,0
parce lys 2023.03.08 plate 11,Std-2,2
parce lys 2023.03.08 plate 11,Std-4,4
parce lys 2023.03.08 plate 11,Std-6,6
parce lys 2023.03.08 plate 11,Std-8,8
parce lys 2023.03.08 plate 11,C-2,2
parce lys 2023.03.08 plate 12,Std-0,0
parce lys 2023.03.08 plate 12,Std-2,2
parce lys 2023.03.08 plate 12,Std-4,4
parce lys 2023.03.08 plate 12,Std-6,6
parce lys 2023.03.08 plate 12,Std-8,8
parce lys 2023.03.08 plate 12,C-2,2
parce lys 2023.03.09 plate 13,Std-0,0
parce lys 2023.03.09 plate 13,Std-2,2
parce lys 2023.03.09 plate 13,Std-4,4
parce lys 2023.03.09 plate 13,Std-6,6
parce lys 2023.03.09 plate 13,Std-8,8
parce lys 2023.03.09 plate 13,C-2,2
parce lys 2023.03.09 plate 14,Std-0,0
parce lys 2023.03.09 plate 14,Std-2,2
parce lys 2023.03.09 plate 14,Std-4,4
parce lys 2023.03.09 plate 14,Std-6,6
parce lys 2023.03.09 plate 14,Std-8,8
parce lys 2023.03.09 plate 14,C-2,2
parce lys 2023.03.09 plate 15,Std-0,0
parce lys 2023.03.09 plate 15,Std-2,2
parce lys 2023.03.09 plate 15,Std-4,4
parce lys 2023.03.09 plate 15,Std-6,6
parce lys 2023.03.09 plate 15,Std-8,8
parce lys 2023.03.09 plate 15,C-2,2
parce lys 2023.03.09 plate 16,Std-0,0
parce lys 2023.03.09 plate 16,Std-2,2
parce lys 2023.03.09 plate 16,Std-4,4
parce lys 2023.03.09 plate 16,Std-6,6
parce lys 2023.03.09 plate 16,Std-8,8
parce lys 2023.03.09 plate 16,C-2,2
parce lys 2023.03.09 plate 17,Std-0,0
parce lys 2023.03.09 plate 17,Std-2,2
parce lys 2023.03.09 plate 17,Std-4,4
parce lys 2023.03.09 plate 17,Std-6,6
parce lys 2023.03.09 plate 17,Std-8,8
parce lys 2023.03.09 plate 17,C-2,2
parce lys 2023.03.09 plate 18,Std-0,0
parce lys 2023.03.09 plate 18,Std-2,2
parce lys 2023.03.09 plate 18,Std-4,4
parce lys 2023.03.09 plate 18,Std-6,6
parce lys 2023.03.09 plate 18,Std-8,8
parce lys 2023.03.09 plate 18,C-2,2
